ENSRNOG00000001047	1894
ENSRNOG00000001048	1
ENSRNOG00000001049	11554
ENSRNOG00000001050	3695
ENSRNOG00000001052	676
ENSRNOG00000001053	4359
ENSRNOG00000001055	2827
ENSRNOG00000001056	1490
ENSRNOG00000001058	1326
ENSRNOG00000001059	1112
ENSRNOG00000001060	933
ENSRNOG00000001061	829
ENSRNOG00000001064	7184
ENSRNOG00000001065	1546
ENSRNOG00000001066	0
ENSRNOG00000001068	3545
ENSRNOG00000001069	1015
ENSRNOG00000001070	3377
ENSRNOG00000001071	70
ENSRNOG00000001072	2268
ENSRNOG00000001073	577
ENSRNOG00000001074	660
ENSRNOG00000001079	1165
ENSRNOG00000001080	1464
ENSRNOG00000001081	226
ENSRNOG00000001082	1265
ENSRNOG00000001083	1319
ENSRNOG00000001086	1442
ENSRNOG00000001088	166
ENSRNOG00000001090	387
ENSRNOG00000001091	2022
ENSRNOG00000001092	9
ENSRNOG00000001094	674
ENSRNOG00000001098	12665
ENSRNOG00000001099	407
ENSRNOG00000001101	2073
ENSRNOG00000001103	1433
ENSRNOG00000001104	703
ENSRNOG00000001106	2514
ENSRNOG00000001108	1667
ENSRNOG00000001111	189
ENSRNOG00000001113	7349
ENSRNOG00000001114	1591
ENSRNOG00000001115	343
ENSRNOG00000001117	370
ENSRNOG00000001120	5398
ENSRNOG00000001123	1500
